Fundo,Modulo,Velocidad,Anio,Semana_de_cosecha,Semana_de_empaque,Fecha_de_cosecha,Etapa, Resultado, Humedad_relativa, Temperatura_minima, Temperatura_maxima, Radiacion_solar_maxima, Radiacion_solar
Arato,2,25,2021,29,29,24/07/2021,Terminado(PT=125),166,83.88,16.10,21.90,600,3099
Arato,2,30,2022,20,20,17/05/2022,Campo(C=8),9,84.50,13.83,24.38,714,3890
Arato,2,30,2022,20,20,17/05/2022,Recepcion(R=30),27,84.50,13.83,24.38,714,3890
Arato,2,30,2022,20,20,17/05/2022,Terminado(PT=125),240,84.50,13.83,24.38,714,3890
Arato,2,30,2022,20,20,18/05/2022,Campo(C=8),12,80.88,16.27,25.22,686,4795
Arato,2,30,2022,20,20,18/05/2022,Recepcion(R=30),33,80.88,16.27,25.22,686,4795
Arato,2,30,2022,20,20,18/05/2022,Terminado(PT=125),235,80.88,16.27,25.22,686,4795
Arato,2,30,2022,29,29,21/07/2022,Campo(C=8),6,90.46,11.70,20.40,478,2120
Arato,2,30,2022,29,29,21/07/2022,Recepcion(R=30),36,90.46,11.70,20.40,478,2120
Arato,2,30,2022,29,29,21/07/2022,Terminado(PT=125),148,90.46,11.70,20.40,478,2120
Arato,2,30,2022,35,35,31/08/2022,Campo(C=8),11,85.63,12.80,22.00,774,5037
Arato,2,30,2022,35,35,31/08/2022,Recepcion(R=30),48,85.63,12.80,22.00,774,5037
Arato,2,30,2022,35,35,31/08/2022,Terminado(PT=125),166,85.63,12.80,22.00,774,5037
Arato,2,32,2022,35,35,03/09/2022,Campo(C=8),17,85.33,10.60,23.00,775,5317
Arato,2,32,2022,35,35,03/09/2022,Recepcion(R=30),39,85.33,10.60,23.00,775,5317
Arato,2,32,2022,35,35,03/09/2022,Terminado(PT=125),159,85.33,10.60,23.00,775,5317
Arato,2,33,2021,29,29,19/07/2021,Campo(C=8),17,87.83,14.40,22.90,703,3597
Arato,2,33,2021,29,29,19/07/2021,Recepcion(R=30),36,87.83,14.40,22.90,703,3597
Arato,2,33,2021,29,29,19/07/2021,Terminado(PT=125),106,87.83,14.40,22.90,703,3597
Arato,2,33,2021,29,29,21/07/2021,Campo(C=8),29,88.79,14.40,22.80,660,2619
Arato,2,33,2021,29,29,21/07/2021,Recepcion(R=30),30,88.79,14.40,22.80,660,2619
Arato,2,33,2021,29,29,21/07/2021,Terminado(PT=125),81,88.79,14.40,22.80,660,2619
Arato,2,33,2021,30,30,30/07/2021,Campo(C=8),19,90.54,15.80,18.70,177,1151
Arato,2,33,2021,30,30,30/07/2021,Recepcion(R=30),22,90.54,15.80,18.70,177,1151
Arato,2,33,2021,30,30,30/07/2021,Terminado(PT=125),188,90.54,15.80,18.70,177,1151
Arato,2,33,2022,30,30,25/07/2022,Campo(C=8),9,91.25,14.50,19.90,404,2059
Arato,2,33,2022,30,30,25/07/2022,Recepcion(R=30),27,91.25,14.50,19.90,404,2059
Arato,2,33,2022,30,30,25/07/2022,Terminado(PT=125),160,91.25,14.50,19.90,404,2059
Arato,2,34,2022,35,35,30/08/2022,Campo(C=8),9,89.88,11.20,20.40,700,3563
Arato,2,34,2022,35,35,30/08/2022,Recepcion(R=30),60,89.88,11.20,20.40,700,3563
Arato,2,34,2022,35,35,30/08/2022,Terminado(PT=125),164,89.88,11.20,20.40,700,3563
Arato,2,35,2021,29,29,20/07/2021,Campo(C=8),19,86.33,13.80,24.90,704,4514
Arato,2,35,2021,29,29,20/07/2021,Recepcion(R=30),47,86.33,13.80,24.90,704,4514
Arato,2,35,2021,29,29,20/07/2021,Terminado(PT=125),81,86.33,13.80,24.90,704,4514
Arato,2,35,2021,30,30,31/07/2021,Campo(C=8),13,88.42,14.30,22.70,766,3777
Arato,2,35,2021,30,30,31/07/2021,Recepcion(R=30),51,88.42,14.30,22.70,766,3777
Arato,2,35,2021,30,30,31/07/2021,Terminado(PT=125),181,88.42,14.30,22.70,766,3777
Arato,2,35,2022,35,35,29/08/2022,Campo(C=8),13,87.46,10.40,21.90,708,4553
Arato,2,35,2022,35,35,29/08/2022,Recepcion(R=30),47,87.46,10.40,21.90,708,4553
Arato,2,35,2022,35,35,29/08/2022,Terminado(PT=125),188,87.46,10.40,21.90,708,4553
Arato,2,35,2022,35,35,02/09/2022,Campo(C=8),21,89.25,11.50,20.80,650,3207
Arato,2,35,2022,35,35,02/09/2022,Recepcion(R=30),57,89.25,11.50,20.80,650,3207
Arato,2,35,2022,35,35,02/09/2022,Terminado(PT=125),156,89.25,11.50,20.80,650,3207
Arato,2,36,2021,30,30,26/07/2021,Campo(C=8),18,84.79,13.60,24.30,704,4796
Arato,2,36,2021,30,30,26/07/2021,Recepcion(R=30),19,84.79,13.60,24.30,704,4796
Arato,2,36,2021,30,30,26/07/2021,Terminado(PT=125),104,84.79,13.60,24.30,704,4796
Arato,2,36,2021,30,30,27/07/2021,Campo(C=8),20,85.75,15.70,24.50,710,4706
Arato,2,36,2021,30,30,27/07/2021,Recepcion(R=30),27,85.75,15.70,24.50,710,4706
Arato,2,36,2021,30,30,27/07/2021,Terminado(PT=125),167,85.75,15.70,24.50,710,4706
Arato,2,37,2021,29,29,23/07/2021,Campo(C=8),19,85.71,15.40,23.60,720,4449
Arato,2,37,2021,29,29,23/07/2021,Terminado(PT=125),122,85.71,15.40,23.60,720,4449
Arato,2,37,2022,29,29,22/07/2022,Campo(C=8),9,88.50,11.50,22.20,707,4309
Arato,2,37,2022,29,29,22/07/2022,Recepcion(R=30),35,88.50,11.50,22.20,707,4309
Arato,2,37,2022,29,29,22/07/2022,Terminado(PT=125),115,88.50,11.50,22.20,707,4309
Arato,2,38,2021,29,29,22/07/2021,Campo(C=8),20,89.38,16.20,21.30,488,1790
Arato,2,38,2021,29,29,22/07/2021,Recepcion(R=30),41,89.38,16.20,21.30,488,1790
Arato,2,38,2021,29,29,22/07/2021,Terminado(PT=125),68,89.38,16.20,21.30,488,1790
Arato,2,38,2021,31,31,03/08/2021,Campo(C=8),21,84.75,13.40,24.00,737,4604
Arato,2,38,2021,31,31,03/08/2021,Recepcion(R=30),30,84.75,13.40,24.00,737,4604
Arato,2,38,2021,31,31,03/08/2021,Terminado(PT=125),217,84.75,13.40,24.00,737,4604
Arato,2,38,2022,30,30,26/07/2022,Campo(C=8),9,88.67,13.70,23.30,689,3397
Arato,2,38,2022,30,30,26/07/2022,Recepcion(R=30),25,88.67,13.70,23.30,689,3397
Arato,2,38,2022,30,30,26/07/2022,Terminado(PT=125),110,88.67,13.70,23.30,689,3397
Arato,2,39,2021,30,30,28/07/2021,Campo(C=8),27,87.83,16.20,23.80,716,3308
Arato,2,39,2021,30,30,28/07/2021,Recepcion(R=30),17,87.83,16.20,23.80,716,3308
Arato,2,39,2021,30,30,28/07/2021,Terminado(PT=125),161,87.83,16.20,23.80,716,3308
Arato,2,39,2022,30,30,27/07/2022,Campo(C=8),7,88.17,12.30,22.80,703,4671
Arato,2,39,2022,30,30,27/07/2022,Recepcion(R=30),32,88.17,12.30,22.80,703,4671
Arato,2,39,2022,30,30,27/07/2022,Terminado(PT=125),157,88.17,12.30,22.80,703,4671
Arato,2,39,2022,32,32,11/08/2022,Recepcion(R=30),32,84.58,11.70,24.80,734,5083
Arato,2,39,2022,32,32,11/08/2022,Terminado(PT=125),152,84.58,11.70,24.80,734,5083
Arato,2,40,2021,23,23,11/06/2021,Recepcion(R=30),16,93.63,16.60,18.90,140,897
Arato,2,40,2021,23,23,11/06/2021,Terminado(PT=125),163,93.63,16.60,18.90,140,897
Arato,2,40,2021,31,31,02/08/2021,Campo(C=8),27,87.38,13.90,21.90,675,3318
Arato,2,40,2021,31,31,02/08/2021,Recepcion(R=30),33,87.38,13.90,21.90,675,3318
Arato,2,40,2021,31,31,02/08/2021,Terminado(PT=125),120,87.38,13.90,21.90,675,3318
Arato,2,42,2022,35,35,01/09/2022,Campo(C=8),9,89.17,11.80,19.90,766,3328
Arato,2,42,2022,35,35,01/09/2022,Recepcion(R=30),45,89.17,11.80,19.90,766,3328
Arato,2,42,2022,35,35,01/09/2022,Terminado(PT=125),166,89.17,11.80,19.90,766,3328
Arato,2,44,2022,29,29,20/07/2022,Campo(C=8),8,90.29,11.70,20.30,684,3130
Arato,2,44,2022,29,29,20/07/2022,Recepcion(R=30),37,90.29,11.70,20.30,684,3130
Arato,2,44,2022,29,29,20/07/2022,Terminado(PT=125),160,90.29,11.70,20.30,684,3130
Arato,2,46,2022,29,29,19/07/2022,Campo(C=8),6,90.29,12.30,20.70,708,4069
Arato,2,46,2022,29,29,19/07/2022,Recepcion(R=30),51,90.29,12.30,20.70,708,4069
Arato,2,46,2022,29,29,19/07/2022,Terminado(PT=125),153,90.29,12.30,20.70,708,4069
Arato,3,27,2021,36,36,06/09/2021,Campo(C=8),32,84.75,14.60,23.50,672,3914
Arato,3,27,2021,36,36,06/09/2021,Recepcion(R=30),18,84.75,14.60,23.50,672,3914
Arato,3,27,2021,36,36,06/09/2021,Terminado(PT=125),70,84.75,14.60,23.50,672,3914
Arato,3,28,2021,35,35,03/09/2021,Campo(C=8),27,87.08,14.70,22.40,865,5349
Arato,3,28,2021,35,35,03/09/2021,Recepcion(R=30),18,87.08,14.70,22.40,865,5349
Arato,3,28,2021,35,35,03/09/2021,Terminado(PT=125),96,87.08,14.70,22.40,865,5349
Arato,3,30,2021,35,35,04/09/2021,Campo(C=8),26,87.50,14.60,22.30,911,4603
Arato,3,30,2021,35,35,04/09/2021,Recepcion(R=30),17,87.50,14.60,22.30,911,4603
Arato,3,30,2021,35,35,04/09/2021,Terminado(PT=125),100,87.50,14.60,22.30,911,4603
Arato,3,30,2021,36,36,07/09/2021,Campo(C=8),28,85.54,14.70,22.30,871,5262
Arato,3,30,2021,36,36,07/09/2021,Recepcion(R=30),23,85.54,14.70,22.30,871,5262
Arato,3,30,2021,36,36,07/09/2021,Terminado(PT=125),74,85.54,14.70,22.30,871,5262
Arato,3,31,2022,35,35,30/08/2022,Campo(C=8),10,89.88,11.20,20.40,700,3563
Arato,3,31,2022,35,35,30/08/2022,Recepcion(R=30),45,89.88,11.20,20.40,700,3563
Arato,3,31,2022,35,35,30/08/2022,Terminado(PT=125),148,89.88,11.20,20.40,700,3563
Arato,3,32,2021,29,29,22/07/2021,Campo(C=8),19,89.38,16.20,21.30,488,1790
Arato,3,32,2021,29,29,22/07/2021,Recepcion(R=30),23,89.38,16.20,21.30,488,1790
Arato,3,32,2021,29,29,22/07/2021,Terminado(PT=125),82,89.38,16.20,21.30,488,1790
Arato,3,33,2021,36,36,09/09/2021,Campo(C=8),29,84.75,13.20,23.30,894,5609
Arato,3,33,2021,36,36,09/09/2021,Recepcion(R=30),20,84.75,13.20,23.30,894,5609
Arato,3,33,2021,36,36,09/09/2021,Terminado(PT=125),93,84.75,13.20,23.30,894,5609
Arato,3,33,2022,35,35,02/09/2022,Campo(C=8),9,89.25,11.50,20.80,650,3207
Arato,3,33,2022,35,35,02/09/2022,Recepcion(R=30),30,89.25,11.50,20.80,650,3207
Arato,3,33,2022,35,35,02/09/2022,Terminado(PT=125),150,89.25,11.50,20.80,650,3207
Arato,3,34,2022,35,35,01/09/2022,Recepcion(R=30),44,89.17,11.80,19.90,766,3328
Arato,3,34,2022,35,35,01/09/2022,Terminado(PT=125),161,89.17,11.80,19.90,766,3328
Arato,3,35,2022,35,35,29/08/2022,Campo(C=8),7,87.46,10.40,21.90,708,4553
Arato,3,35,2022,35,35,29/08/2022,Recepcion(R=30),47,87.46,10.40,21.90,708,4553
Arato,3,35,2022,35,35,29/08/2022,Terminado(PT=125),265,87.46,10.40,21.90,708,4553
Arato,3,38,2021,32,32,10/08/2021,Campo(C=8),30,85.88,11.80,22.30,930,4891
Arato,3,38,2021,32,32,10/08/2021,Recepcion(R=30),31,85.88,11.80,22.30,930,4891
